word	pronunciation
կեչուկ	k e ˈ t ͡ ʃ ʰ u k
կեչուպ	k e ˈ t ͡ ʃ ʰ u p
կեչուս	k e ˈ t ͡ ʃ ʰ u s
կեչուտ	k e ˈ t ͡ ʃ ʰ u t
կեպկա	k e p ˈ k ɑ
կեռ	k e r
կեռաս	k e ˈ r ɑ s
կեռնեխ	k e r ˈ n e χ
կես	k e s
կես լինել	k e s   l i ˈ n e l
Կեսարիա	k e ˈ s ɑ ɾ i ɑ
կեսգիշեր	k e s ɡ i ˈ ʃ e ɾ
կեսրայր	k e s ˈ ɾ ɑ j ɾ
կեսրար	k e s ˈ ɾ ɑ ɾ
կեսօր	k e ˈ s o ɾ
կետ	k e t
կետ-ստորակետ	k e t   s t o ɾ ɑ ˈ k e t
կետադրական	k e t ɑ d ɾ ɑ ˈ k ɑ n
կետադրական նշան	k e t ɑ d ɾ ɑ ˈ k ɑ n   n ə ˈ ʃ ɑ n
կետադրություն	k e t ɑ d ɾ u ˈ t ʰ j u n
Կետիկյան	k e t i ˈ k j ɑ n
կետչուպ	k e t ˈ t ͡ ʃ ʰ u p
կետչուս	k e t ˈ t ͡ ʃ ʰ u s
կեր	k e ɾ
Կերալա	k e ɾ ɑ ˈ l ɑ
կերակրափող	k e ɾ ɑ k ɾ ɑ ˈ p ʰ o ʁ
կերակրել	k e ɾ ɑ k ( ə ) ˈ ɾ e l
կերակուր	k e ɾ ɑ ˈ k u ɾ
կերոսին	k e ɾ o ˈ s i n
Կերչ	k e ɾ t ͡ ʃ ʰ
կերպ	k e ɾ p
կերպար	k e ɾ ˈ p ɑ ɾ
կերպարանք	k e ɾ p ɑ ˈ ɾ ɑ n k ʰ
-կերտ	k e ɾ t
կերտել	k e ɾ ˈ t e l
կերցավ	k e ɾ ˈ t ͡ s ʰ ɑ v
կերցնել	k e ɾ t ͡ s ʰ ˈ n e l
կեցցե	k e t ͡ s ʰ ˈ t ͡ s ʰ e
կեցցես	k e t ͡ s ʰ ˈ t ͡ s ʰ e s
Կեֆալոնիա	k e f ɑ ˈ l o n i ɑ
կզակ	k ə ˈ z ɑ k
կզաքիս	k ə z ɑ ˈ k ʰ i s
Կզըլ	k ə ˈ z ə l
Կզըլ Օրդա	k ə z ə l   o ɾ ˈ d ɑ
կզղել	k ə z ˈ ʁ e l
կը	k ə
ԿԸՀ	k ə ə ˈ h ə
կթել	k ə ˈ t ʰ e l
կթխա	k ə t ʰ ˈ χ ɑ
կթղա	k ə t ʰ ˈ ʁ ɑ
կթոտ	k ə ˈ t ʰ o t
կթոտել	k ə t ʰ o ˈ t e l
կիբեռնետիկա	k i b e r n e t i ˈ k ɑ
Կիև	k i ˈ e v
կիզանուտ	k i z ɑ ˈ n u t
կիզել	k i ˈ z e l
կիզիչ	k i ˈ z i t ͡ ʃ ʰ
կիթ	k i t ʰ
կիթառ	k i ˈ t ʰ ɑ r
կիթառահար	k i t ʰ ɑ r ɑ ˈ h ɑ ɾ
Կիլիկիա	k i l i k i ˈ ɑ
կիլիկիացի	k i l i k i ɑ ˈ t ͡ s ʰ i
կիլիկյան	k i l i ˈ k j ɑ n
կիլո	k i ˈ l o
կիլո-	k i ˈ l o
կիլոգրամ	k i l o ɡ ˈ ɾ ɑ m
կիլոմետր	k i l o ˈ m e t ə ɾ
կիծ	k i t ͡ s
Կիկերոն	k i k e ˈ ɾ o n
կիճ	k i t ͡ ʃ
կիմեր	k i ˈ m e ɾ
կիմերերեն	k i m e ɾ e ˈ ɾ e n
կիմչի	k i m ˈ t ͡ ʃ ʰ i
կիմրերեն	k i m ɾ e ˈ ɾ e n
կին	k i n
կինաբար	k i n ɑ ˈ b ɑ ɾ
կինամոմոն	k i n ɑ m o ˈ m o n
կինամոն	k i n ɑ ˈ m o n
կինձ	k i n d ͡ z
կինճ	k i n t ͡ ʃ
կինո	k i ˈ n o
կինո-	k i ˈ n o
կինոթատրոն	k i n o t ʰ ɑ t ˈ ɾ o n
կինոնկար	k i n o n ə ˈ k ɑ ɾ
կինոռեժիսոր	k i n o r e ʒ i ˈ s o ɾ
կինոֆիլմ	k i n o ˈ f i l m
Կիշինյով	k i ʃ i ˈ n j o v
կիպ	k i p
կիպարիս	k i p ɑ ˈ ɾ i s
Կիպրոս	k i p ˈ ɾ o s
կիսագունդ	k i s ɑ ˈ ɡ u n d
կիսաթավ	k i s ɑ ˈ t ʰ ɑ v
կիսակայարան	k i s ɑ k ɑ j ɑ ˈ ɾ ɑ n
կիսահաղորդիչ	k i s ɑ h ɑ ʁ o ɾ ˈ t ʰ i t ͡ ʃ ʰ
կիսաձայն	k i s ɑ ˈ d ͡ z ɑ j n
կիսամյակ	k i s ɑ ˈ m j ɑ k
կիսանդրի	k i s ɑ n d ˈ ɾ i
կիսաշրջազգեստ	k i s ɑ ʃ ə ɾ d ͡ ʒ ɑ z ˈ ɡ e s t
կիսաշրջան	k i s ɑ ʃ ə ɾ ˈ d ͡ ʒ ɑ n
կիսաշփական	k i s ɑ ʃ ə p ʰ ɑ ˈ k ɑ n
կիսապաշտպան	k i s ɑ p ɑ ʃ t ˈ p ɑ n
կիսապաշտպանություն	k i s ɑ p ɑ ʃ t p ɑ n u ˈ t ʰ j u n
կիսաստված	k i s ɑ s t ˈ v ɑ t ͡ s
կիսաստվեր	k i s ɑ s t ə ˈ v e ɾ
կիսատ	k i ˈ s ɑ t
կիսատաբատ	k i s ɑ t ɑ ˈ b ɑ t
կիսաֆաբրիկատ	k i s ɑ f ɑ b ɾ i ˈ k ɑ t
կիսել	k i ˈ s e l
կիսվել	k i s ˈ v e l
կիվ	k i v
կիվի	k i ˈ v i
կիտել	k i ˈ t e l
Կիտո	ˈ k i t o
կիտվածք	k i t ˈ v ɑ t ͡ s k ʰ
կիտրոն	k i t ˈ ɾ o n
կիր	k i ɾ
կիրակի	k i ɾ ɑ ˈ k i
կիրակնօրյա	k i ɾ ɑ k n o ˈ ɾ j ɑ
Կիրակոս	k i ɾ ɑ ˈ k o s
Կիրակոսյան	k i ɾ ɑ k o ˈ s j ɑ n
կիրառական	k i ɾ ɑ r ɑ ˈ k ɑ n
կիրառել	k i ɾ ɑ ˈ r e l
կիրառվել	k i ɾ ɑ r ˈ v e l
կիրառում	k i ɾ ɑ ˈ r u m
կիրարկել	k i ɾ ɑ ɾ ˈ k e l
կիրթ	k i ɾ t ʰ
կիրիլիցա	k i ɾ i l i ˈ t ͡ s ʰ ɑ
կիրճ	k i ɾ t ͡ ʃ
Կիրով	k i ˈ ɾ o v
Կիրովական	k i ɾ o v ɑ ˈ k ɑ n
կիրք	k i ɾ k ʰ
կից	k i t ͡ s ʰ
կիցք	k i t ͡ s ʰ k ʰ
կլայեկ	k ə l ɑ ˈ j e k
կլանել	k ə l ɑ ˈ n e l
Կլարա	k l ɑ ˈ ɾ ɑ
կլարնետ	k l ɑ ɾ ˈ n e t
կլարնետահար	k l ɑ ɾ n e t ɑ ˈ h ɑ ɾ
կլափ	k ə ˈ l ɑ p ʰ
կլեյ	k ə ˈ l e j
Կլեոպատրա	k l e o p ɑ t ˈ ɾ ɑ
կլեպ	k ə ˈ l e p
Կլերմոն	k l e ɾ ˈ m o n
կլիմա	k l i ˈ m ɑ
կլիր	k ə ˈ l i ɾ
կլոր	k ə ˈ l o ɾ
կլորավուն	k ə l o ɾ ɑ ˈ v u n
կլոուն	k ə l o ˈ u n
կլպել	k ə l ˈ p e l
կլրտել	k ə l ə ɾ ˈ t e l
կլրտոց	k ə l ə ɾ ˈ t o t ͡ s ʰ
կծել	k ə ˈ t ͡ s e l
կծոխուր	k ə t ͡ s o ˈ χ u ɾ
կծու	k ə ˈ t ͡ s u
կկել	k ə ˈ k e l
կղբենի	k ə ʁ b e ˈ n i
կղերական	k ə ʁ e ɾ ɑ ˈ k ɑ n
կղզի	k ə ʁ ˈ z i
կղզիաբնակ	k ə ʁ z i ɑ b ə ˈ n ɑ k
կղզիախումբ	k ə ʁ z i j ɑ ˈ χ u m b
կղզիներ	k ə ʁ z i ˈ n e ɾ
կղկղանք	k ə χ k ə ˈ ʁ ɑ n k ʰ
կղմինդր	k ə ʁ ˈ m i n d ə ɾ
կճատ	k ə ˈ t ͡ ʃ ɑ t
կճել	k ə ˈ t ͡ ʃ e l
կճղակ	k ə t ͡ ʃ ˈ ʁ ɑ k
կճուճ	k ə ˈ t ͡ ʃ u t ͡ ʃ
կմախք	k ə ˈ m ɑ χ k ʰ
կյանք	k j ɑ n k ʰ
Կյոզյուքյուչյուքյան	k j o z j u k ʰ j u t ͡ ʃ ʰ j u ˈ k ʰ j ɑ n
Կյուսյու	k j u ˈ s j u
Կյուրեղ	k j u ˈ ɾ e ʁ
Կյուրեղյան	k j u ɾ e ˈ ʁ j ɑ n
կյուրիում	k j u ɾ i ˈ j u m
Կյուրոս	k j u ˈ ɾ o s
կնատյաց	k ə n ɑ ˈ t j ɑ t ͡ s ʰ
կնատյացություն	k ə n ɑ t j ɑ t ͡ s ʰ u ˈ t ʰ j u n
կնգմենի	k ə n ɡ ə m e ˈ n i
կնգում	k ə n ˈ ɡ u m
կնդրուկ	k ə n d ˈ ɾ u k
կնիկ	k ə ˈ n i k
կնիք	k ə ˈ n i k ʰ
կնձնի	k ə n d ͡ z ˈ n i
կնճիթ	k ə n ˈ t ͡ ʃ i t ʰ
կնճիռ	k ə n ˈ t ͡ ʃ i r
Կնյազ	k ə ˈ n j ɑ z
կնյուն	k ə ˈ n j u n
կնություն	k ə n u ˈ t ʰ j u n
կնունք	k ə ˈ n u n k ʰ
կնուք	k ə ˈ n u k ʰ
կնքահայր	k ə n k ʰ ɑ ˈ h ɑ j ɾ
կնքել	k ə n ˈ k ʰ e l
կշեռք	k ə ˈ ʃ e r k ʰ
Կշեռք	k ə ˈ ʃ e r k ʰ
կշիռ	k ə ˈ ʃ i r
կշռադատել	k ə ʃ r ɑ d ɑ ˈ t e l
կշռել	k ə ʃ ˈ r e l
կշտանալ	k ə ʃ t ɑ ˈ n ɑ l
կոալա	k o ˈ ɑ l ɑ
կոալիցիա	k o ɑ l i t ͡ s ʰ i ˈ ɑ
կոբալտ	k o ˈ b ɑ l t
կոգի	k o ˈ ɡ i
Կոդոմանոս	k o d o m ɑ ˈ n o s
Կոդոր	k o ˈ d o ɾ
Կոդորի կիրճ	k o d o ˈ ɾ i   k i ɾ t ͡ ʃ
կոթ	k o t ʰ
կոթող	k o ˈ t ʰ o ʁ
կոլա	k o ˈ l ɑ
կոլաժ	k o ˈ l ɑ ʒ
Կոլայի թերակղզի	k o l ɑ ˈ j i   t ʰ e ɾ ɑ k ə ʁ ˈ z i
կոլգոտկա	k o l ɡ o t ˈ k ɑ
կոլեգա	k o ˈ l e ɡ ɑ
կոլեգիա	k o ˈ l e ɡ i ɑ
կոլիբրի	k o ˈ l i b ɾ i
Կոլխիդա	k o l ˈ χ i d ɑ
կոլխոզ	k o l ˈ χ o z
կոլոլիկ	k o l o ˈ l i k
Կոլոմնա	k o l o m ˈ n ɑ
կոլոտ	k o ˈ l o t
Կոլումբիա	k o ˈ l u m b i ɑ
կոխել	k o ˈ χ e l
կոծել	k o ˈ t ͡ s e l
կոծոծ	k o ˈ t ͡ s o t ͡ s
կոկաին	k o k ɑ ˈ j i n
կոկան	k o ˈ k ɑ n
կոկիկ	k o ˈ k i k
կոկո	k o ˈ k o
կոկոս	k o ˈ k o s
կոկոսյան	k o k o ˈ s j ɑ n
կոկոսյան արմավենի	k o k o ˈ s j ɑ n   ɑ ɾ m ɑ v e ˈ n i
կոկով	k o ˈ k o v
կոկովանք	k o k o ˈ v ɑ n k ʰ
կոկորդ	k o ˈ k o ɾ t ʰ
կոկորդային	k o k o ɾ t ʰ ɑ ˈ j i n
կոկորդիլոս	k o k o ɾ t ʰ i ˈ l o s
կոկորդիլոսի արցունքներ	k o k o ɾ d i l o ˈ s i   ɑ ɾ t ͡ s ʰ u n k ʰ ˈ n e ɾ
կոկտեյլ	k o k ˈ t e j l
Կոհիմա	k o h i ˈ m ɑ
կող	k o ʁ
կողակ	k o ˈ ʁ ɑ k
կողակից	k o ʁ ɑ ˈ k i t ͡ s ʰ
կողբացի	k o ʁ b ɑ ˈ t ͡ s ʰ i
կողմ	k o ʁ m
կողմանոց	k o ʁ m ɑ ˈ n o t ͡ s ʰ
կողմից	k o ʁ ˈ m i t ͡ s ʰ
կողմնակի	k o ʁ m n ɑ ˈ k i
կողմնացույց	k o ʁ m n ɑ ˈ t ͡ s ʰ u j t ͡ s ʰ
կողմնորոշում	k o ʁ m n o ɾ o ˈ ʃ u m
կողոպտել	k o ʁ o p ˈ t e l
կողով	k o ˈ ʁ o v
կողպել	k o χ ˈ p e l
կողպեք	k o χ ˈ p e k ʰ
կողր	ˈ k o ʁ ə ɾ
կողք	k o ʁ k ʰ
Կողքիս	k o χ ˈ k ʰ i s
կոճ	k o t ͡ ʃ
կոճակ	k o ˈ t ͡ ʃ ɑ k
կոճապղպեղ	k o t ͡ ʃ ɑ p ə χ ˈ p e ʁ
կոճկել	k o t ͡ ʃ ˈ k e l
կոճկեն	k o t ͡ ʃ ˈ k e n
կոճղ	ˈ k o t ͡ ʃ ə ʁ
կոճղեզ-միզուկային գեղձ	k o t ͡ ʃ ˈ ʁ e z   m i z u k ɑ ˈ j i n   ɡ e ʁ d ͡ z
կոմբալ	k o m ˈ b ɑ l
կոմբայն	k o m ˈ b ɑ j n
կոմբինատ	k o m b i ˈ n ɑ t
կոմիտե	k o m i ˈ t e
Կոմնենոս	k o m n e ˈ n o s
կոմպ	k o m p
կոմպետենտ	k o m p e ˈ t e n t
կոմպլեքս թիվ	k o m p ˈ l e k ʰ s   t ʰ i v
կոմպոզիտոր	k o m p o z i ˈ t o ɾ
կոմպոնենտ	k o m p o ˈ n e n t
կոմպրոմիս	k o m p ɾ o ˈ m i s
կոմս	k o m s
կոմսություն	k o m s u ˈ t ʰ j u n
կոմսուհի	k o m s u ˈ h i
կոմունիզմ	k o m u ˈ n i z m
կոմունիկացիա	k o m u n i ˈ k ɑ t ͡ s ʰ i ɑ
կոմունիստ	k o m u ˈ n i s t
կոմունիստական	k o m u n i s t ɑ ˈ k ɑ n
Կոյամպուտուր	k o j ɑ m p u ˈ t u ɾ
կոն	k o n
կոնական	k o n ɑ ˈ k ɑ n
կոնական հատույթ	k o n ɑ ˈ k ɑ n   h ɑ ˈ t u j t ʰ
Կոնակրի	k o n ɑ k ˈ ɾ i
կոնաձև	k o n ɑ ˈ d ͡ z e v
Կոնգո	k o n ˈ ɡ o
կոնգրես	k o n ɡ ˈ ɾ e s
կոնդ	k o n d
կոնկրետ	k o n k ˈ ɾ e t
կոնձի	k o n ˈ d ͡ z i
կոնյակ	k o ˈ n j ɑ k
կոնսոլիդացիա	k o n s o l i ˈ d ɑ t ͡ s ʰ i ɑ
կոնստրուկտիվ	k o n s t ɾ u k ˈ t i v
կոնտեյներ	k o n t e j ˈ n e ɾ
կոնտենտ	k o n ˈ t e n t
կոնտեքստ	k o n ˈ t e k ʰ s t
կոնտրոլ	k o n t ˈ ɾ o l
Կոնրադ	k o n ˈ ɾ ɑ d
կոնցեպցիա	k o n ˈ t ͡ s ʰ e p t ͡ s ʰ i ɑ
կոնք	k o n k ʰ
կոնֆետ	k o n ˈ f e t
կոնֆերանս	k o n f e ˈ ɾ ɑ n s
կոնֆերանսը	k o n f e ˈ ɾ ɑ n s ə
կոնֆերենցիա	k o n f e ˈ ɾ e n t ͡ s ʰ i ɑ
կոնֆլիկտ	k o n f ˈ l i k t
կոշ	k o ʃ
կոշիկ	k o ˈ ʃ i k
կոշկաթել	k o ʃ k ɑ ˈ t ʰ e l
կոշկակար	k o ʃ k ɑ ˈ k ɑ ɾ
Կոշկակարյան	k o ʃ k ɑ k ɑ ˈ ɾ j ɑ n
կոշկատակ	k o ʃ k ɑ ˈ t ɑ k
կոշկաքուղ	k o ʃ k ɑ ˈ k ʰ u ʁ
կոշկեղեն	k o ʃ k e ˈ ʁ e n
կոշկոճել	k o ʃ k o ˈ t ͡ ʃ e l
կոշտ	k o ʃ t
կոչ	k o t ͡ ʃ ʰ
կոչել	k o ˈ t ͡ ʃ ʰ e l
կոչեցյալ	k o t ͡ ʃ ʰ e ˈ t ͡ s ʰ j ɑ l
կոչվել	k o t ͡ ʃ ʰ ˈ v e l
կոչում	k o ˈ t ͡ ʃ ʰ u m
կոչունք	k o ˈ t ͡ ʃ ʰ u n k ʰ
կոպ	k o p
կոպալ	k o ˈ p ɑ l
Կոպելյան	k o p e ˈ l j ɑ n
կոպեկ	k o ˈ p e k
Կոպենհագեն	k o p e n ˈ h ɑ ɡ e n
կոպեռնիցիում	k o p e r n i t ͡ s ʰ i ˈ j u m
կոպիտ	k o ˈ p i t
կոռ	k o r
կոռեկտ	k o ˈ r e k t
կոռներեն	k o r n e ˈ ɾ e n
կոռուպցիա	k o ˈ r u p t ͡ s ʰ i ɑ
կոռուպցիոն	k o r u p t ͡ s ʰ i ˈ o n
կոռուպցիոներ	k o r u p t ͡ s ʰ i o ˈ n e ɾ
կոսմոպոլիտ	k o s m o p o ˈ l i t
կոսմոպոլիտական	k o s m o p o l i t ɑ ˈ k ɑ n
կոսմոպոլիտային	k o s m o p o l i t ɑ ˈ j i n
կոսմոպոլիտիզմ	k o s m o p o l i ˈ t i z m
կոսմոպոլիտություն	k o s m o p o l i t u ˈ t ʰ j u n
կոսմոս	k o s ˈ m o s
Կոսովո	k o s o ˈ v o
կոստ	k o s t
Կոստա Ռիկա	ˌ k o s ˈ t ɑ   ˈ r i k ɑ
Կոստանդնուպոլիս	k o s t ɑ n d n u p o ˈ l i s
Կոստանյան	k o s t ɑ ˈ n j ɑ n
կոստղ	ˈ k o s t ə ʁ
կոստղաշատ	k o s t ʁ ɑ ˈ ʃ ɑ t
կոստղավոր	k o s t ʁ ɑ ˈ v o ɾ
կոստղոտ	k o s t ˈ ʁ o t
կոստյում	k o s ˈ t j u m
Կոստրոմա	k o s t ɾ o ˈ m ɑ
կով	k o v
կովադիաց	k o v ɑ d i ˈ j ɑ t ͡ s ʰ
կովբոյ	k o v ˈ b o j
կովիկ	k o ˈ v i k
կովլակ	k o v ˈ l ɑ k
Կովկաս	k o f ˈ k ɑ s
կովկասագետ	k o f k ɑ s ɑ ˈ ɡ e t
կովկասագիտություն	k o f k ɑ s ɑ ɡ i t u ˈ t ʰ j u n
կովկասյան	k o f k ɑ ˈ s j ɑ n
կովկասյան մայրեհավ	k o f k ɑ ˈ s j ɑ n   m ɑ j ɾ e ˈ h ɑ v
կովկասցի	k o f k ɑ s ˈ t ͡ s ʰ i
-կոտ	k o t
կոտ	k o t
Կոտ դ’Իվուար	k o t   d i v u ˈ ɑ ɾ
կոտակ	k o ˈ t ɑ k
Կոտայք	k o ˈ t ɑ j k ʰ
կոտեմ	k o ˈ t e m
կոտիկ	k o ˈ t i k
կոտլետ	k o t ˈ l e t
կոտոշ	k o ˈ t o ʃ
կոտոր	k o ˈ t o ɾ
կոտորած	k o t o ˈ ɾ ɑ t ͡ s
կոտորակ	k o t o ˈ ɾ ɑ k
կոտրել	k o t ˈ ɾ e l
կոր	k o ɾ
կորած	k o ˈ ɾ ɑ t ͡ s
կորդ	k o ɾ d
Կորդիլերյան լեռներ	k o ɾ d i l e ˈ ɾ j ɑ n   l e r ˈ n e ɾ
Կորդիլերներ	k o ɾ d i l e ɾ ˈ n e ɾ
Կորեա	k o ˈ ɾ e ɑ
կորեացի	k o ɾ e ɑ ˈ t ͡ s ʰ i
կորեերեն	k o ɾ e e ˈ ɾ e n
կորել	k o ˈ ɾ e l
կորեկ	k o ˈ ɾ e k
կորիզ	k o ˈ ɾ i z
կորիզային	k o ɾ i z ɑ ˈ j i n
կործան	k o ɾ ˈ t ͡ s ɑ n
կործանել	k o ɾ t ͡ s ɑ ˈ n e l
կործանիչ	k o ɾ t ͡ s ɑ ˈ n i t ͡ ʃ ʰ
կործանում	k o ɾ t ͡ s ɑ ˈ n u m
կործել	k o ɾ ˈ t ͡ s e l
կորկոտ	k o ɾ ˈ k o t
կորճ	k o ɾ t ͡ ʃ
կորյուն	k o ˈ ɾ j u n
Կորյուն	k o ˈ ɾ j u n
կորնգան	k o ɾ ə n ˈ ɡ ɑ n
Կորնթոս	k o ɾ ə n ˈ t ʰ o s
կորնչել	k o ɾ ə n ˈ t ͡ ʃ ʰ e l
կորոնավիրուս	k o ɾ o n ɑ ˈ v i ɾ u s
կորովաձիգ	k o ɾ o v ɑ ˈ d ͡ z i k ʰ
կորչել	k o ɾ ˈ t ͡ ʃ ʰ e l
կորպուս	k o ɾ ˈ p u s
կորպուսը	k o ɾ ˈ p u s ə
Կորսիկա	k o ɾ s i ˈ k ɑ
կորսիկերեն	k o ɾ s i k e ˈ ɾ e n
կորտ	k o ɾ t
կորցնել	k o ɾ t ͡ s ʰ ˈ n e l
կորուսանել	k o ɾ u s ɑ ˈ n e l
կորուսյալ	k o ɾ u ˈ s j ɑ l
կորուստ	k o ˈ ɾ u s t
կոփածո	k o p ʰ ɑ ˈ t ͡ s o
կոֆե	k o ˈ f e
կոֆեին	k o f e ˈ i n
կպնել	k ə p ˈ n e l
կպչել	k ə p ˈ t ͡ ʃ ʰ e l
կպչուն	k ə p ˈ t ͡ ʃ ʰ u n
կռածո	k ə r ɑ ˈ t ͡ s o
կռահել	k ə r ɑ ˈ h e l
կռան	k ə ˈ r ɑ n
կռանալ	k ə r ɑ ˈ n ɑ l
կռանթ	k ə ˈ r ɑ n t ʰ
կռապաշտ	k ə r ɑ ˈ p ɑ ʃ t
կռապաշտություն	k ə r ɑ p ɑ ʃ t u ˈ t ʰ j u n
կռատուկ	k ə r ɑ ˈ t u k
կռել	k ə ˈ r e l
կռթնել	k ə r t ʰ ə ˈ n e l
կռթունք	k ə r ˈ t ʰ u n k ʰ
կռինչ	k ə ˈ r i n t ͡ ʃ ʰ
կռիշ	k r i ʃ
կռիչք	k ə ˈ r i t ͡ ʃ ʰ k ʰ
կռիս	k r i s
կռիսություն	k ə r i s u ˈ t ʰ j u n
կռիվ	k ə ˈ r i v
կռկել	k ə r ˈ k e l
կռկռալ	k ə r k ə ˈ r ɑ l
կռճիկ	k ə r ˈ t ͡ ʃ i k
կռնակ	k ə r ˈ n ɑ k
կռնատ	k ə r ˈ n ɑ t
կռնատակ	k ə r n ɑ ˈ t ɑ k
կռնչալ	k ə r ə n ˈ t ͡ ʃ ʰ ɑ l
կռնչել	k ə r ə n ˈ t ͡ ʃ ʰ e l
կռվախնձոր	k ə r v ɑ χ ə n ˈ d ͡ z o ɾ
կռվել	k ə r ˈ v e l
կռտած	k ə r ˈ t ɑ t ͡ s
կռունկ	k ə ˈ r u n k
կռուփ	k ə ˈ r u p ʰ
կռփազենք	k ə r p ʰ ɑ ˈ z e n k ʰ
կսկիծ	k ə s ˈ k i t ͡ s
կվաս	k v ɑ s
կվարց	k ə ˈ v ɑ ɾ t ͡ s ʰ
կվարցիտ	k v ɑ ɾ ˈ t ͡ s ʰ i t
կվեկտո-	k v e k ˈ t o
կվենի	k ə v e ˈ n i
կվետտա-	k v e t ˈ t ɑ
կտակ	k ə ˈ t ɑ k
կտակարան	k ə t ɑ k ɑ ˈ ɾ ɑ n
կտակել	k ə t ɑ ˈ k e l
կտավիք	k ə t ɑ ˈ v i k ʰ
կտղանք	k ə t ˈ ʁ ɑ n k ʰ
կտղել	k ə t ˈ ʁ e l
կտղուցք	k ə t ˈ ʁ u t ͡ s ʰ k ʰ
կտնառք	k ə t ˈ n ɑ r k ʰ
կտնարք	k ə t ˈ n ɑ ɾ k ʰ
կտոր	k ə ˈ t o ɾ
կտորներ	k ə t o ɾ ˈ n e ɾ
կտտալ	k ə t ˈ t ɑ l
կտտանք	k ə t ˈ t ɑ n k ʰ
կտտացնել	k ə t t ɑ t ͡ s ʰ ˈ n e l
կտրական	k ə t ɾ ɑ ˈ k ɑ n
կտրականաբար	k ə t ɾ ɑ k ɑ n ɑ ˈ b ɑ ɾ
կտրականապես	k ə t ɾ ɑ k ɑ n ɑ ˈ p e s
կտրականորեն	k ə t ɾ ɑ k ɑ n o ˈ ɾ e n
կտրել	k ə t ˈ ɾ e l
Կտրիճ	k ə t ˈ ɾ i t ͡ ʃ
կտրիճ	k ə t ˈ ɾ i t ͡ ʃ
կտրոն	k ə t ˈ ɾ o n
կտրուկ	k ə t ˈ ɾ u k
կտցար	k ə t ˈ t ͡ s ʰ ɑ ɾ
կտցել	k ə t ˈ t ͡ s ʰ e l
կտուր	k ə ˈ t u ɾ
կտուց	k ə ˈ t u t ͡ s ʰ
կրախ	k ə ˈ ɾ ɑ χ
կրակ	k ə ˈ ɾ ɑ k
կրակահերթ	k ə ɾ ɑ k ɑ ˈ h e ɾ t ʰ
կրակել	k ə ɾ ɑ ˈ k e l
կրակմարիչ	k ə ɾ ɑ k m ɑ ˈ ɾ i t ͡ ʃ ʰ
կրակոց	k ə ɾ ɑ ˈ k o t ͡ s ʰ
կրակվառիչ	k ə ɾ ɑ k v ɑ ˈ r i t ͡ ʃ ʰ
կրաշաղախ	k ə ɾ ɑ ʃ ɑ ˈ ʁ ɑ χ
Կրասնոդար	k ɾ ɑ s n o ˈ d ɑ ɾ
Կրասնոյարսկ	k ɾ ɑ s n o ˈ j ɑ ɾ s k
կրավորական	k ə ɾ ɑ v o ɾ ɑ ˈ k ɑ n
կրավորական սեռ	k ə ɾ ɑ v o ɾ ɑ ˈ k ɑ n   s e r
կրաքար	k ə ɾ ɑ ˈ k ʰ ɑ ɾ
կրեատիվ	k ɾ e ɑ ˈ t i v
կրել	k ə ˈ ɾ e l
կրեմ	k ə ˈ ɾ e m
Կրեմլ	k ə ˈ ɾ e m ə l
կրեոլ	k ɾ e ˈ o l
կրեսլո	k ɾ e s ˈ l o
Կրեսոս	k ɾ e ˈ s o s
կրետ	k ə ˈ ɾ e t
Կրետե	k ə ˈ ɾ e t e
կրթաթոշակ	k ə ɾ t ʰ ɑ t ʰ o ˈ ʃ ɑ k
կրթական	k ə ɾ t ʰ ɑ ˈ k ɑ n
կրթել	k ə ɾ ˈ t ʰ e l
կրթվել	k ə ɾ t ʰ ˈ v e l
կրթություն	k ə ɾ t ʰ u ˈ t ʰ j u n
կրիա	k ə ˈ ɾ j ɑ
կրիկետ	k ɾ i ˈ k e t
Կրիշնա	k ɾ i ʃ ˈ n ɑ
կրիպտոն	k ɾ i p ˈ t o n
կրծել	k ə ɾ ˈ t ͡ s e l
կրծկալ	k ə ɾ t ͡ s ˈ k ɑ l
կրծող	k ə ɾ ˈ t ͡ s o ʁ
կրծոսկր	k ə ɾ ˈ t ͡ s o s k ə ɾ
կրծքազարդ	k ə ɾ t ͡ s k ʰ ɑ ˈ z ɑ ɾ t ʰ
կրծքանշան	k ə ɾ t ͡ s k ʰ ɑ n ə ˈ ʃ ɑ n
կրծքապտուկ	k ə ɾ t ͡ s k ʰ ɑ p ə ˈ t u k
կրծքավանդակ	k ə ɾ t ͡ s k ʰ ɑ v ɑ n ˈ d ɑ k
կրկես	k ə ɾ ˈ k e s
կրկեսամարտիկ	k ə ɾ k e s ɑ m ɑ ɾ ˈ t i k
կրկին	k ə ɾ ˈ k i n
կրկնակ	k ə ɾ k ˈ n ɑ k
կրկնակզակ	k ə ɾ k n ɑ k ə ˈ z ɑ k
կրկնել	k ə ɾ k ˈ n e l
կրկներգ	k ə ɾ k ˈ n e ɾ k ʰ
կրկնություն	k ə ɾ k n u ˈ t ʰ j u n
կրճատում	k ə ɾ t ͡ ʃ ɑ ˈ t u m
Կրյուչկյան	k ɾ j u t ͡ ʃ ʰ ˈ k j ɑ n
կրոն	k ə ˈ ɾ o n
կրոնագետ	k ə ɾ o n ɑ ˈ ɡ e t
